,year,CountyName,Category,Tot_ED_NmbVsts,EDStations,Visits_Per_Station
,,,,,,
1,2022,Alameda,Active COVID-19,13579,12,43.33333
2,2022,Alameda,Active COVID-19,29760,22,53.5
3,2022,Alameda,Active COVID-19,35062,40,45.55
4,2022,Alameda,Active COVID-19,66095,53,39.79245
5,2022,Alameda,Active COVID-19,29336,30,44.16667
6,2022,Alameda,Active COVID-19,43964,39,77.25641
7,2022,Alameda,Active COVID-19,28620,17,81.05882
8,2022,Alameda,Active COVID-19,38960,18,82.61111
9,2022,Alameda,Active COVID-19,31062,22,66.68182
10,2022,Alameda,Active COVID-19,120088,80,61.0375
11,2022,Alameda,Active COVID-19,69343,40,72.325
12,2022,Amador,Active COVID-19,24996,14,99.42857
13,2022,Butte,Active COVID-19,10325,5,73.2
14,2022,Butte,Active COVID-19,9329,14,26.92857
15,2022,Butte,Active COVID-19,56376,50,38.04
16,2022,Calaveras,Active COVID-19,10190,8,62.125
17,2022,Contra Costa,Active COVID-19,41182,30,69.4
18,2022,Contra Costa,Active COVID-19,47848,44,50.11364
19,2022,Contra Costa,Active COVID-19,65573,52,57.82692
20,2022,Contra Costa,Active COVID-19,52369,32,75.125
21,2022,Contra Costa,Active COVID-19,18054,12,84.08333
22,2022,Contra Costa,Active COVID-19,66644,36,94.02778
23,2022,El Dorado,Active COVID-19,17483,12,49.66667
24,2022,Fresno,Active COVID-19,56532,59,34.76271
25,2022,Fresno,Active COVID-19,8870,9,40.11111
26,2022,Fresno,Active COVID-19,84815,73,40.54795
27,2022,Fresno,Active COVID-19,38319,10,251.8
28,2022,Fresno,Active COVID-19,58162,48,45.45833
29,2022,Fresno,Active COVID-19,49785,21,109
30,2022,Glenn,Active COVID-19,6404,4,44.25
31,2022,Humboldt,Active COVID-19,10531,8,44.125
32,2022,Humboldt,Active COVID-19,27953,20,44.1
33,2022,Imperial,Active COVID-19,42926,16,152.1875
34,2022,Inyo,Active COVID-19,8301,8,46
35,2022,Inyo,Active COVID-19,1668,2,31.5
36,2022,Kern,Active COVID-19,28475,10,94.5
37,2022,Kern,Active COVID-19,6607,8,35
38,2022,Kern,Active COVID-19,62403,45,61.02222
39,2022,Kern,Active COVID-19,16279,12,61.5
40,2022,Kern,Active COVID-19,21135,13,86.92308
41,2022,Kings,Active COVID-19,92128,44,108.79545
42,2022,Lake,Active COVID-19,19592,8,96.375
43,2022,Lake,Active COVID-19,19410,12,72.33333
44,2022,Lassen,Active COVID-19,10145,8,54.5
45,2022,Los Angeles,Active COVID-19,16020,8,100.25
46,2022,Los Angeles,Active COVID-19,107707,45,102.31111
47,2022,Los Angeles,Active COVID-19,37582,26,47.03846
