oshpd_id,FacilityName2,CountyName,system,year,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station
106010735,Alameda Hospital,Alameda,Alameda Health System,2022,100-149,Government,Urban,Non-Teaching,Active COVID-19,13579,12,520,37.76266000,-122.25399100,No,No,43.33333333
106010739,Alta Bates Summit Medical Center – Alta Bates Campus,Alameda,Sutter Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,29760,22,1177,37.85645000,-122.25743000,No,No,53.5
106010776,UC San Francisco Benioff Children's Hospital Oakland,Alameda,N/A,2022,150-199,Nonprofit,Urban,Teaching,Active COVID-19,35062,40,1822,37.83722000,-122.26747000,No,No,45.55
106010846,Highland Hospital,Alameda,Alameda Health System,2022,200-299,Government,Urban,Non-Teaching,Active COVID-19,66095,53,2109,37.79925000,-122.23138000,No,No,39.79245283
106010937,Alta Bates Summit Medical Center,Alameda,Sutter Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,29336,30,1325,37.82106000,-122.26257000,No,No,44.16666667
106010987,Washington Hospital – Fremont,Alameda,N/A,2022,300-499,Government,Urban,Non-Teaching,Active COVID-19,43964,39,3013,37.55847000,-121.98006000,No,No,77.25641026
106014050,Stanford Health Care Tri-Valley,Alameda,N/A,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,28620,17,1378,37.69206000,-121.88095000,No,No,81.05882353
106014132,Kaiser Foundation Hospital – Fremont,Alameda,Kaiser Foundation Hospitals,2022,100-149,Nonprofit,Urban,Non-Teaching,Active COVID-19,38960,18,1487,37.55055000,-121.97483000,No,No,82.61111111
106014233,Eden Medical Center,Alameda,Sutter Health,2022,100-149,Nonprofit,Urban,Non-Teaching,Active COVID-19,31062,22,1467,37.69837690,-122.08740550,No,No,66.68181818
106014326,Kaiser Foundation Hospital – Oakland/Richmond,Alameda,Kaiser Foundation Hospitals,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,120088,80,4883,37.82402000,-122.25791000,No,No,61.0375
106014337,Kaiser Foundation Hospital – San Leandro,Alameda,Kaiser Foundation Hospitals,2022,200-299,Nonprofit,Urban,Non-Teaching,Active COVID-19,69343,40,2893,37.70611000,-122.16917000,No,No,72.325
106034002,Sutter Amador Hospital,Amador,Sutter Health,2022,50-99,Nonprofit,Rural,Non-Teaching,Active COVID-19,24996,14,1392,38.34743000,-120.77272000,Yes,No,99.42857143
